frame_number,timestamp,head_pitch,head_yaw,head_roll,inBrL,otBrL,inBrR,otBrR,EyeOL,EyeOR,oLipH,iLipH,LipCDt,dicCoeff_local0,dicCoeff_local1,dicCoeff_local2,dicCoeff_local3,dicCoeff_local4,dicCoeff_local5,dicCoeff_local6,dicCoeff_local7,dicCoeff_local8,dicCoeff_local9,dicCoeff_local10,dicCoeff_local11,dicCoeff_local12,dicCoeff_local13,dicCoeff_local14,dicCoeff_local15,dicCoeff_local16,dicCoeff_local17,dicCoeff_local18,dicCoeff_local19,dicCoeff_local20,dicCoeff_local21,dicCoeff_local22,dicCoeff_local23
16,1.6,164.52,-178.0,-172.16,0.6735,0.6717,0.7198,0.7014,0.1364,0.1219,0.0003,0.0002,0.0729,0.000786,0.015682,0.000906,0.001005,0.013424,0.00161,0.003744,0.010814,0.00103,0.001513,0.010948,0.00119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1.7,161.6,-177.3,-171.04,0.6646,0.664,0.7186,0.7005,0.1396,0.1224,0.0001,0.0,0.0701,0.000716,0.015862,0.000962,0.000968,0.013551,0.001702,0.003833,0.010905,0.00109,0.001621,0.010829,0.001267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1.8,161.25,-177.97,-170.42,0.6608,0.6601,0.7172,0.6988,0.145,0.113,0.0003,0.0002,0.0711,0.000678,0.015506,0.000955,0.000953,0.013434,0.001675,0.003737,0.010679,0.001068,0.001601,0.010598,0.001256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.9,162.13,-178.42,-170.74,0.6584,0.6565,0.7146,0.6957,0.1357,0.1157,0.0008,0.0005,0.0723,0.00072,0.015502,0.000944,0.000972,0.013538,0.001674,0.003754,0.010706,0.001071,0.001563,0.010721,0.001234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2.0,162.08,-174.68,-171.14,0.6551,0.6521,0.7088,0.6895,0.1386,0.1258,0.0002,0.0001,0.078,0.000695,0.01539,0.001012,0.00091,0.013531,0.001799,0.003851,0.010809,0.001165,0.001655,0.010815,0.001246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2.1,163.78,-177.86,-170.62,0.6503,0.6484,0.7071,0.6874,0.1457,0.1261,0.0005,0.0004,0.0768,0.000725,0.01554,0.000965,0.000973,0.013762,0.001705,0.003865,0.010777,0.001103,0.001619,0.010862,0.001244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2.2,162.4,-178.49,-171.08,0.6494,0.6471,0.7031,0.6858,0.1027,0.1146,0.0002,0.0001,0.0768,0.000777,0.015952,0.001075,0.00105,0.014135,0.001873,0.00398,0.011198,0.001195,0.001575,0.011171,0.00139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2.3,164.13,177.16,-173.86,0.6603,0.6542,0.7005,0.6845,0.1502,0.1163,0.0002,0.0001,0.0739,0.000889,0.015985,0.000876,0.001223,0.014472,0.001528,0.003901,0.011612,0.000988,0.001409,0.011764,0.001279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2.4,166.5,173.82,-174.42,0.6678,0.6601,0.7021,0.6859,0.1575,0.1234,0.0002,0.0001,0.0778,0.001011,0.015534,0.000778,0.001341,0.01446,0.001354,0.003853,0.011534,0.000918,0.001284,0.0117,0.001215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2.5,166.92,171.91,-174.67,0.673,0.6644,0.7053,0.6892,0.1632,0.1286,0.0002,0.0002,0.0757,0.001036,0.015363,0.000742,0.001385,0.014304,0.001285,0.003842,0.011414,0.000895,0.00125,0.01158,0.00122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2.6,166.85,171.66,-175.51,0.6792,0.6705,0.7064,0.6904,0.1609,0.1239,0.0004,0.0003,0.0721,0.001065,0.015537,0.000769,0.001411,0.014433,0.001331,0.00385,0.011672,0.000913,0.001263,0.011878,0.001246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2.7,164.56,170.71,-176.63,0.6834,0.6746,0.7054,0.6914,0.1635,0.1263,0.0003,0.0002,0.073,0.00111,0.015501,0.00087,0.001441,0.01432,0.001481,0.00379,0.011868,0.000992,0.001209,0.011953,0.001367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2.8,164.81,169.31,-176.18,0.6914,0.6823,0.7146,0.7012,0.1601,0.1244,0.0001,0.0001,0.0718,0.001121,0.015415,0.000963,0.001456,0.014032,0.00163,0.003776,0.011571,0.001059,0.001193,0.011531,0.001439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2.9,162.72,170.0,-176.57,0.6974,0.69,0.7193,0.707,0.1561,0.1305,0.0002,0.0001,0.074,0.001069,0.015371,0.00094,0.001412,0.013958,0.001574,0.003793,0.011654,0.001031,0.001245,0.011686,0.001401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,3.0,163.63,170.66,-176.37,0.7036,0.6969,0.729,0.7164,0.1609,0.1237,0.0003,0.0002,0.0705,0.00108,0.014807,0.00096,0.001403,0.013323,0.00162,0.003818,0.011074,0.001045,0.001281,0.011148,0.001413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,3.1,162.99,169.74,-177.0,0.7102,0.7044,0.7316,0.7196,0.1642,0.1244,0.0004,0.0003,0.0723,0.001096,0.014771,0.000996,0.001424,0.013139,0.00165,0.003803,0.011075,0.001071,0.001216,0.011164,0.001487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,3.2,164.9,167.58,-178.22,0.7209,0.7131,0.7342,0.7219,0.1536,0.1198,0.0004,0.0003,0.0671,0.001198,0.013972,0.000974,0.00149,0.012606,0.001611,0.003699,0.010574,0.00104,0.001139,0.01073,0.001442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,3.3,164.85,165.71,-178.76,0.7261,0.7185,0.7342,0.7238,0.1565,0.1256,0.0004,0.0003,0.0665,0.001168,0.013906,0.000954,0.001475,0.012379,0.001538,0.003525,0.010545,0.001006,0.001077,0.010668,0.001434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,3.4,163.92,165.91,-178.4,0.7237,0.7159,0.7374,0.7266,0.1641,0.1294,0.0004,0.0003,0.0665,0.001167,0.013982,0.000985,0.001506,0.012514,0.001587,0.003563,0.01062,0.001037,0.001075,0.010652,0.001479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,3.5,162.46,166.13,-178.73,0.7267,0.7186,0.7376,0.7267,0.158,0.1242,0.0005,0.0003,0.0643,0.001206,0.01389,0.000979,0.001519,0.012453,0.001592,0.003559,0.010729,0.001035,0.001076,0.010653,0.001475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,3.6,162.21,165.29,-178.58,0.7266,0.7175,0.738,0.728,0.1574,0.1317,0.0007,0.0005,0.0615,0.001238,0.014055,0.001033,0.001553,0.012554,0.001669,0.003637,0.010869,0.001077,0.001107,0.010722,0.001533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,3.7,162.27,166.35,-178.6,0.7268,0.7186,0.7389,0.7282,0.1623,0.1323,0.0004,0.0003,0.063,0.001274,0.014102,0.001019,0.001556,0.012683,0.001662,0.003648,0.010955,0.001072,0.00109,0.010795,0.001518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
