frame_number,timestamp,head_pitch,head_yaw,head_roll,inBrL,otBrL,inBrR,otBrR,EyeOL,EyeOR,oLipH,iLipH,LipCDt,dicCoeff_local0,dicCoeff_local1,dicCoeff_local2,dicCoeff_local3,dicCoeff_local4,dicCoeff_local5,dicCoeff_local6,dicCoeff_local7,dicCoeff_local8,dicCoeff_local9,dicCoeff_local10,dicCoeff_local11,dicCoeff_local12,dicCoeff_local13,dicCoeff_local14,dicCoeff_local15,dicCoeff_local16,dicCoeff_local17,dicCoeff_local18,dicCoeff_local19,dicCoeff_local20,dicCoeff_local21,dicCoeff_local22,dicCoeff_local23
0,0.0,-173.45,-175.24,-178.59,0.5035,0.4833,0.5129,0.4881,0.1199,0.1171,0.0002,0.0001,0.0788,0.000913,0.013795,0.000772,0.001001,0.01438,0.001098,0.003638,0.011006,0.000839,0.001447,0.012003,0.000768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,-169.92,173.69,177.88,0.4989,0.4729,0.4879,0.4642,0.122,0.1373,0.0002,0.0002,0.0851,0.001365,0.012743,0.000589,0.001439,0.014444,0.000767,0.003508,0.011113,0.000836,0.00108,0.011766,0.001003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2,173.11,-159.77,168.22,0.5956,0.574,0.5197,0.5158,0.0224,0.044,0.0007,0.0005,0.0955,0.001291,0.012336,0.001172,0.001074,0.012327,0.001976,0.003284,0.012829,0.001497,0.001858,0.012647,0.00089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.3,-165.59,-161.36,162.14,0.6802,0.6519,0.5681,0.5742,0.0492,0.0794,0.001,0.0007,0.1196,0.001571,0.006966,0.000863,0.001404,0.010008,0.000975,0.00366,0.010012,0.000875,0.002015,0.009396,0.000736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.5,165.05,127.8,-168.51,0.3485,0.3468,0.3987,0.3925,0.093,0.0774,0.0026,0.0018,0.0405,0.000907,0.008676,0.000255,0.001597,0.008042,0.000254,0.001582,0.005721,0.001119,0.000383,0.00569,0.001019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.7,153.86,-167.89,170.98,0.7043,0.6875,0.622,0.6347,0.1071,0.1145,0.0067,0.0047,0.0968,0.003554,0.018438,0.002388,0.002773,0.017386,0.00432,0.005002,0.02012,0.003184,0.002564,0.019227,0.002586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.8,-168.41,-173.2,170.68,0.5696,0.5302,0.5024,0.4777,0.0762,0.0706,0.0002,0.0001,0.1185,0.001614,0.013146,0.001209,0.001391,0.020041,0.001542,0.004767,0.015883,0.001202,0.001875,0.016231,0.000772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
